tiktok_video_id,content_link,video_title,publish_day,publish_month,publish_year,duration,likes,shares,comments_added,views,saves,sound_used,post_type,,,,,,
tkvid_172,https:::www.tiktok.com:@thesugarcaneph:video:7224395292299316485?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Naka-stream na ba lahat ng “Leonora”?,21,4,2023,0:00:22,10000,74,259,64300,530,Original Sound,video,,,,,,
tkvid_173,https:::www.tiktok.com:@thesugarcaneph:video:7224715006225501446?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Rob Deniel - Ang Pag-ibig (Cover),22,4,2023,0:01:22,8042,118,235,60700,543,Original Sound,video,,,,,,
tkvid_174,https:::www.tiktok.com:@thesugarcaneph:video:7224823568528461061?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Abangan namin cover niyo ha 💕,22,4,2023,0:01:04,11000,811,154,267300,1890,Original Sound,video,,,,,,
tkvid_175,https:::www.tiktok.com:@thesugarcaneph:photo:7225074788065185029?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Meet the band in  the 19th Century,23,4,2023,0:00:00,3992,40,134,68500,301,Leonora,photo,,,,,,
tkvid_176,https:::www.tiktok.com:@thesugarcaneph:video:7225171804090895622?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Abangan namin cover niyo ha 💕,23,4,2023,0:00:59,7132,63,172,68400,1192,Gunita,video,,,,,,
tkvid_177,https:::www.tiktok.com:@thesugarcaneph:video:7225514316039081221?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Sa lungkot at ligaya, hirap at ginhawa, SUGARCANE makakasama mo",24,4,2023,0:00:14,7770,62,109,49200,555,Leonora,video,,,,,,
tkvid_178,https:::www.tiktok.com:@thesugarcaneph:video:7225549539397078277?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"""Leonora"", but vocals only",24,4,2023,0:00:28,139900,2061,720,702600,16100,Leonora,video,,,,,,
tkvid_179,https:::www.tiktok.com:@thesugarcaneph:video:7225850424031546629?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Leonora sa dagat,25,4,2023,0:00:55,9294,71,187,64500,669,Original Sound,video,,,,,,
tkvid_180,https:::www.tiktok.com:@thesugarcaneph:video:7225909599566613765?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Colorized rare footage of Rizal performing magic,25,4,2023,0:00:55,11400,68,252,75200,710,Leonora,video,,,,,,
tkvid_181,https:::www.tiktok.com:@thesugarcaneph:video:7226294314027011333?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Otw na kami para hanapin ang dating tamis ng pagsasama 🥹,26,4,2023,0:00:23,62200,657,358,285000,4463,Leonora,video,,,,,,
