Content,Video title,Video publish time,Duration,Impressions,Impressions click-through rate (%),Average views per viewer,New viewers,Subscribers gained,Subscribers lost,Likes,Shares,Comments added,Views,Watch time (hours),Average view duration,Year,Month,Day,Day_of_Week,Hour,Duration_seconds,Performance Cluster,Performance Label
vkHm5QbiocA,SUGARCANE - Tanging Ikaw (Official Lyric Visualizer),2025-01-30,183.0,2479415,9.06,,,2167,40,11611,9041,482,1046360,33298.5018,0:01:54,2025,1,30,Thursday,0,0.0,0,Low
k6KDDSfzNlY,SUGARCANE - Gabi (Official Lyric Video),2020-02-01,226.0,2467952,9.6,,,1987,49,5747,6749,310,506952,23024.7431,0:02:43,2020,2,1,Saturday,0,0.0,0,Low
_GdOhSZNlMU,Paruparo,2022-07-07,297.0,1868958,6.6,,,166,5,11731,4299,108,1123899,64292.4667,0:03:25,2022,7,7,Thursday,0,0.0,0,Low
GP3nyBDsQaI,Leonora   Sugarcane (Lyrics),2023-08-04,233.0,1849688,6.97,,,0,0,720,1057,11,287623,13885.2159,0:02:53,2023,8,4,Friday,0,0.0,0,Low
KFG4be-m_LU,"Paalam, Leonora",2023-04-27,260.0,1441793,6.9,,,0,0,13265,3439,130,1330500,67389.1874,0:03:02,2023,4,27,Thursday,0,0.0,0,Low
bOfg_TvuqqY,Leonora (Live at The Cozy Cove) https://youtu.be/bgGNtj2ubcM,2023-06-22,58.0,1403036,1.74,,,181,7,2495,114,26,42165,414.2707,0:00:36,2023,6,22,Thursday,0,0.0,0,Low
AjgbJeYUEhU,SUGARCANE - Bituin (Official Lyric Video),2019-07-25,199.0,1370555,8.92,,,1067,24,3700,4371,182,286235,12584.3035,0:02:38,2019,7,25,Thursday,0,0.0,0,Low
AQF2wFy8cVc,SUGARCANE - Leonora (Official Guitar Chords),2023-04-20,237.0,1367001,12.68,,,1137,24,4149,1452,118,212293,6079.2824,0:01:43,2023,4,20,Thursday,0,0.0,0,Low
EQxz6zL9RFI,SUGARCANE - Leonora (Official Flute Notes),2023-04-30,231.0,1234495,9.64,,,1372,26,4721,1855,172,172297,5333.5095,0:01:51,2023,4,30,Sunday,0,0.0,0,Low
2QMGl988H1s,Leonora - Sugarcane (karaoke version),2023-08-01,239.0,1207186,14.74,,,0,0,592,770,11,206782,8328.5863,0:02:24,2023,8,1,Tuesday,0,0.0,0,Low
a3J1bDtNyU8,SUGARCANE - Reside [ft. Angel] (Official Lyric Video),2020-12-20,279.0,1001055,8.49,,,616,8,3016,3086,260,192352,11057.3563,0:03:26,2020,12,20,Sunday,0,0.0,0,Low
2AB-Jmon_mQ,"SUGARCANE, Angelica Gantang - Sinehan (Official Lyric Video)",2023-09-21,197.0,984922,7.4,,,569,7,2911,2644,207,145193,6614.5254,0:02:44,2023,9,21,Thursday,0,0.0,0,Low
Ej63qEIRnpU,SUGARCANE - Lagi Na Lang (Official Lyric Visualizer),2024-11-07,250.0,895088,6.31,,,559,7,2765,1873,182,154630,8203.7028,0:03:10,2024,11,7,Thursday,0,0.0,0,Low
ipnJvVYChjI,Gunita,2022-03-10,329.0,824046,4.69,,,4,0,3514,1595,25,404991,25948.7142,0:03:50,2022,3,10,Thursday,0,0.0,0,Low
1cnvopHH5vo,"SUGARCANE - Paalam, Leonora (Official Guitar Chords)",2023-06-23,260.0,698877,6.87,,,303,8,1446,558,54,64511,2276.2483,0:02:07,2023,6,23,Friday,0,0.0,0,Low
2gztejvb-YQ,SUGARCANE - Set You Free (Official Audio),2023-11-23,278.0,643974,5.45,,,182,2,969,853,66,87679,5162.3259,0:03:31,2023,11,23,Thursday,0,0.0,0,Low
Mlx4aXDEXBg,SUGARCANE- LEONORA (LYRICS),2023-10-02,230.0,616322,7.9,,,0,0,220,522,2,100724,4662.3782,0:02:46,2023,10,2,Monday,0,0.0,0,Low
NvLyyyuB8Yc,Sugarcane - Pagbigyan (Official Music Video),2024-07-26,290.0,580889,5.21,,,275,2,1912,776,154,68870,3376.0135,0:02:56,2024,7,26,Friday,0,0.0,0,Low
Ni8gOu4a7Yg,Leonora,2023-04-27,235.0,558871,3.92,,,0,0,3420,562,12,598851,27425.8537,0:02:44,2023,4,27,Thursday,0,0.0,0,Low
HxwXU6WTUDQ,Leonora 🔥 #shorts #leonora #davecarlos,2023-09-08,46.0,541701,1.31,,,0,0,642,25,25,12722,83.5028,0:00:25,2023,9,8,Friday,0,0.0,0,Low
WBKEoCpr33o,SUGARCANE - Paruparo (Official Instrumental/Karaoke),2022-07-23,297.0,538605,9.1,,,229,4,685,1045,19,61184,2399.3196,0:02:21,2022,7,23,Saturday,0,0.0,0,Low
NQBRpBlCzvE,SUGARCANE feat. Jikamarie - Aking Maria Clara (Official Lyric Visualizer),2024-05-23,251.0,527646,4.99,,,275,5,1588,851,115,70718,3160.3273,0:02:40,2024,5,23,Thursday,0,0.0,0,Low
8ypKTFiLoXY,SUGARCANE/LEONORA,2023-08-28,232.0,496763,5.4,,,0,0,100,146,0,46429,2092.1378,0:02:42,2023,8,28,Monday,0,0.0,0,Low
HrlouUIBk2M,SUGARCANE - Leonora (starring Klay and Fidel of Maria Clara at Ibarra) FMV,2023-06-24,240.0,413429,6.54,,,0,0,552,149,15,43548,1753.1321,0:02:24,2023,6,24,Saturday,0,0.0,0,Low
mu9D2TJG7C8,SUGARCANE - Dalangin (Official Instrumental/Karaoke),2021-08-01,342.0,395120,8.39,,,239,8,734,716,23,55162,1884.8859,0:02:03,2021,8,1,Sunday,0,0.0,0,Low
