"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks","Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Negative feedback from users: Hide","Negative feedback from users: Hide all"
965113971642282,100044310645639,SUGARCANE,"look at you go, Leonora 🫵🏻🥹

""Maria Clara"", out later at 12am ❤️
Pre-save here: sugarcane.lnk.to/presave_mariaclara","look at you go, Leonora 🫵🏻🥹

""Maria Clara"", out later at 12am ❤️
Pre-save here: sugarcane.lnk.to/presave_mariaclara",17,"03/07/2024 00:57",N/A,https://www.facebook.com/thesugarcaneph/videos/761549505613465/,0,0,Videos,,,,,Lifetime,331117,44292,41961,377,1954,13628,,13531,97,331117,0,239599,0,231983,0,0,239599,3684317.957,11.239,0.54,,1
965016544985358,100044310645639,SUGARCANE,"IJAians & fellow alumni 📢

Join us tomorrow, 6PM, at Infant Jesus Academy - Marikina! ✨

PS. Event is exclusive for students of IJA and alumni only 🤝

🎟️: Students (200), Alumni (250) 
For Alumni, you can purchase your tickets at the business office or registration area on the day itself.",,0,"03/06/2024 20:15",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02hkCZEXx9cazjdZXqRzZczbEop7FN7JyF9hvsnC2E9EbkYPUMPvu424XVFbuBrp5ol,0,0,Photos,,,,,Lifetime,21761,1585,1454,47,84,1662,447,1215,,21761,0,0,0,0,0,0,0,,,,,
962928078527538,100044310645639,SUGARCANE,"Pre-save here ✨
sugarcane.lnk.to/presave_mariaclara","Pre-save here ✨
sugarcane.lnk.to/presave_mariaclara",21,"03/03/2024 03:18",N/A,https://www.facebook.com/thesugarcaneph/videos/7277780518980835/,0,0,Videos,,,,,Lifetime,42526,4026,3277,263,486,2582,,2410,172,42526,0,13696,0,11603,0,0,13696,193179.941,4.585,0.02,,
961798858640460,100044310645639,SUGARCANE,🚶‍♂️🍽️,🚶‍♂️🍽️,16,"03/01/2024 03:38",N/A,https://www.facebook.com/thesugarcaneph/videos/3659155284327601/,0,0,Videos,,,,,Lifetime,224877,17057,16442,152,463,9146,,9123,23,224877,0,66631,0,63823,0,0,66631,848444.223,4.574,0.11,,
961728841980795,100044310645639,SUGARCANE,"Maraming salamat, Camarines Norte & La Consolacion College Daet! Sa uulitin! 🫶🏻✨",,0,"03/01/2024 00:30",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid025SJScVQ1sF8e2yU27ZHtVGPSTTEL3xhKxpb8Ya5xb9UAESAHhM32apcXMPqaNwWPl,0,0,Photos,,,,,Lifetime,46616,3096,2720,146,230,6323,3148,3175,,46616,0,0,0,0,0,0,0,,,,,
959042038916142,100044310645639,SUGARCANE,"📢 CamNor folks! 

Kita-kits tayo sa February 28 sa La Consolacion College Daet! 🫶🏻✨

PS. Event is open for outsiders! 🤝",,0,"02/25/2024 02:00",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid021K2DTD8hyD8Xmo65SHpjsGT6VLDsrvRR8T7Unmjbfb2yAm4Uxg4DYiWUb1vxiEMMl,0,0,Photos,,,,,Lifetime,50592,2961,2141,416,404,5162,1153,4009,,50592,0,0,0,0,0,0,0,,,,,
957960685690944,100044310645639,SUGARCANE,"See you sa February 28, Consolites and CamNorteños!! 🤝",,0,"02/23/2024 02:27",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02gRkehuH1bY69U9g3Nv7Jw4K1TXAWhg6HdTQkMjZhuvFrdgTbR4PGzZLvEDmhXoA1l,0,1,Videos,,,,,Lifetime,7576,482,462,20,0,298,,298,,7576,0,3129,0,2912,0,0,3129,,,,,
956445712509108,100044310645639,SUGARCANE,"Thank you MYX Global & VJ Samm! ❣️",,0,"02/20/2024 06:02",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02mxioLJoYEanVsFAApqEXwmB23yuNn1xpjBzNjjRdLNtiNb9tyKahRdeQz5ybSix4l,0,1,Videos,,,,,Lifetime,5248,187,184,3,0,107,,107,,5248,0,1212,98,1124,95,0,1212,,,,,
955243329296013,100044310645639,SUGARCANE,"""Kung Maging Akin Ka"" has hit 10M streams, while ""Set You Free"" reached 1M streams on Spotify. We deeply appreciate your unwavering support, more songs to be released this year! Thank you, SugarFolks!♥",,0,"02/18/2024 02:06",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid025dYs3N8oVLuMPf8yJBT4edY8N39L8wcQ9GM3AFGc1ZwciqEZhXqpJh4t52XYFcvgl,0,0,Photos,,,,,Lifetime,26626,2477,2158,141,178,854,205,649,,26626,0,0,0,0,0,0,0,,,,,
951852266301786,100044310645639,SUGARCANE,"📢 Centralians and QC folks !

Join us on February 16 at Central Colleges of the Philippines’ 70th anniversary! See you there! 🫶🏻✨

🎟️: Tickets are available at CCP’s Admission Office or via http://bit.ly/CCPConcertFinale for online purchase

PS. Event is open for outsiders! 🤝",,0,"02/13/2024 02:00",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02o2eHPDjkd5GcKDDZP2P1YEEnbVvcAbax4AGQdSyKH3uan6zYHeCgPmpkWBLgmmXtl,0,0,Photos,,,,,Lifetime,21860,778,695,39,44,1309,736,565,8,21860,0,0,0,0,0,0,0,,,,,
